mail_id,title,query,query_date,reply,reply_date,reply_agency,url
20210526006,关于献血证电子档案需要的手续,尊敬的领导：您好，本人于2015年在西岗十字献血两次，由于当时未推行电子档案，献血证为手写，2020年推行公众号查询献血记录时发现没有这两次总计600cc的献血记录，2020年又去莲湖献血点献了200cc，拿着我那600cc手写献血证咨询，负责登记的工作人员说当时的身份证号登记是错的，需要下次献血才能改。请问领导：1、手写都能写对，为什么登记就能错两次，贵单位工作人员工作素质是否过硬？2、献血是公益事业，在已知前面工作人员出现错误，当事人又去献爱心的情况下，又要求下次献血再改，是否存在慢作为行为？ ,2021-05-26,"  网友你好，来信已收悉，你反映的问题已转市卫健委阅处。相关情况会第一时间答复，请关注后续回复内容，感谢你的来信，祝你生活愉快！
2021年5月27日
  网友你好，来信已收悉。你反映的问题市卫健委高度重视，现将具体情况回复如下：  经查询，李先生有两个档案信息：一个档案是2014年在西岗十字献血车献血两次，献血量为200ml和400ml，共计600ml；另一档案是2020年在大都汇献血点献血一次，献血量为200ml ，两档案献血量共计800ml。  李先生反映的在网络自助查询电子档案里献血量不符的情况，因市血站原有系统升级后，有部分献血者在献血档案中有新旧（15位和18位）身份证号不符的情况，无法进行账户合并，因此导致出现两个档案。陕西省施行电子献血证后，也有部分人员因早期档案填写或录入不正确，查询结果无法与血站信息系统查询的一致，出现实际献血量与网络电子献血证中血量不符的情况，市血站在前期工作中已修改合并了大部分档案信息，仍有极少部分信息因无法人工辨别，而未合并，但不影响献血者本人在市血站献血量的统计，也不会出现血站系统中丢失献血量影响血费报销等问题。  本次李先生反映情况后，市血站第一时间与其取得联系，说明问题出现的原因和解决办法，经与李先生进行信息核对，现已对其新旧档案进行了合并处理，一周后电子献血证查询中的献血量将与市血站查询系统中显示一致。通过积极的交流沟通，李先生表示以后将继续支持无偿献血工作。  通过本次事件，市卫健委要求市血站进一步加强内部管理，转变工作作风，改善服务态度，不断提升无偿献血服务水平，对出现的问题积极处理、妥善应对、加强沟通，避免此类情况再次发生。
商洛市卫生健康委员会2021年6月1日",2021-05-27,商洛市卫生健康委员会,http://www.shangluo.gov.cn/zmhd/ldxxxx.jsp?urltype=leadermail.LeaderMailContentUrl&wbtreeid=1112&leadermailid=7314
20210524003,通组水泥路水毁，村民出行受阻。,       市长，你好！我是丹凤县寺坪镇石庙村汪院组村民，由于五月份降雨，导致通组水泥路水毁，导致出行不便。水毁后，我组及时向石庙村组织反映，村上派人看后，将情况上报寺坪镇政府，寺坪镇派人查看后，答复说是村民宅基地，政府不管，由我组村民集资修。此答复，遭到一致反对，此公路通过住户宅基地是事实，此路也形成了几十年之久。次答复，也导致该住户拦路，不让其他村民通过，造成极大不便，也引起邻里矛盾。请领导过问解决一下。,2021-05-24,,2021-05-31,市信息中心,http://www.shangluo.gov.cn/zmhd/ldxxxx.jsp?urltype=leadermail.LeaderMailContentUrl&wbtreeid=1112&leadermailid=7298
20210519001,建议班车将商州改为商洛,从西安到商洛的班车，牌子和票面上写的西安到商州容易误导外地人，以为是两个地方。据了解火车站就使用商洛名称。旁边地市的渭南安康汉中等地班车，也没有以市辖区命名。,2021-05-19,  网友你好，来信已收悉，感谢您对市政府网站的关注，您的意见和建议我们已转相关部门作为参考，感谢您的来信，祝你生活愉快！,2021-05-20,市信息中心,http://www.shangluo.gov.cn/zmhd/ldxxxx.jsp?urltype=leadermail.LeaderMailContentUrl&wbtreeid=1112&leadermailid=7269
20210518011,生活饮用水令人忧,尊敬的郑市长：商洛市商州市杨斜镇林华村十三组，请相关部门领导现场指实际视察一下，看老百姓吃的自引水，是否能达到生活饮用水标准？水里边杂物丛生，让人难以生存。再之，村里村子里边现在留的都是年龄长者偏多，请领导给他们一些关爱，解决一下他们生活中存在的实际困难。非常感谢！,2021-05-19,"  网友你好，来信已收悉，你反映的问题已转商州区人民政府阅处。相关情况会第一时间答复，请关注后续回复内容，感谢你的来信，祝你生活愉快！
2021年5月25日
  网友你好，来信已收悉。你反映的问题商州区委、区政府主要领导对此高度重视，立即安排区级分管领导带队进行现场核查，对存在问题迅速进行整改。现将回复如下：  一、基本情况  林华村位于商州区杨斜镇政府西约4.5公里，距城区32公里，现辖15个村民小组，791户2545人。 2014年11月，镇上将原林华村(有13个村民小组)、平安村(有6个村民小组)和林岔沟村(有14个村民小组)合并为一个村(林华村)。经查，群众反映的林华村13组是指原林华村13组，现为林华村9组，该组现有53户182人，目前常住人口34户68人。  二、核查情况  (一)关于群众生活饮水问题。经区惠众农村供水有限公司专业技术人员现场实地调查，该组生活用水为独立水源点，饮水设施修建于2018年，2020年进行了改造提升，集水井修建在林华村9组铁铜沟内约1500米处。一是通过现场查看水源集水井的供水情况，目前水量充足，供水设施正常运转，但因受近期洪水影响，集水井内有少量肉眼可见的漂浮物，井内及水边未见杂草，集水井外空地有少许杂草。二是对常住的34户村民的供水和水质情况入户查看，目前供水正常，水量充足，水体清澈，群众反映在大雨天有短暂的供水浑浊现象，现已基本恢复正常。三是区惠众农村供水有限公司技术人员对饮用水进行了取水采祥(从王春续家和王照记家共取样两处)，检验结果显示：除微生物未出结果，其他项目符合GB 5749-2006《生活饮用水卫生标准》要求。经过综合调查，该组饮用水符合安全饮水四重保障的相关要求和“两不愁三保障及饮水安全大排查”的结果一致。  (二)关于老年人生活困难问题。经过对该组老年人生产生活状况进行了详细调查，该组共有60岁以上老年人29人，对生活困难的7户13人已经落实了低保兜底保障。  三、整改措施  针对核查发现的问题，经研究，决定采取以下措施进行整改。一是为了进一步提高该组生活饮水质量，彻底解决群众顾虑，由区惠众农村供水有限公司负责设计新建一处长3.9米、宽2.9米、高2米的沉淀池，铺设配水管道40PE管20米，与原配水管网连接，预计投资2.7万元，由杨斜镇政府负责实施，有效解决因雨天影响供水质量的问题。二是举一反三，在全区范围内对饮水安全开展常态化排查，发现问题及时解决，确保饮水质量达标。三是健全和落实安全饮水管护机制，充分发挥村组及水管员的作用，加强农村饮水安全宣传，由各村水管员负责对饮用水进行定期消毒，提高供水质量，确保供水安全。四是全面落实各项惠民政策，及时关心关爱生活困难的老年人，确保社会和谐稳定。
中共商州区委商州区人民政府2021年5月26日",2021-05-25,中共商州区委 商州区人民政府,http://www.shangluo.gov.cn/zmhd/ldxxxx.jsp?urltype=leadermail.LeaderMailContentUrl&wbtreeid=1112&leadermailid=7268
20210518010,事业单位单职工购房公积金贷款无法办理,尊敬的市政府领导：公积金贷款是指缴存住房公积金的职工享受的贷款，国家规定，凡是缴存公积金的职工均可按公积金贷款的相关规定申请个人住房公积金贷款。可是商洛市公积金中心要求单职工公积金贷款必须提供担保。寻找担保人太难了，谁愿意为别人担保几十年？可是银行愿意给单职工办理商业贷款。只是利率高一倍。购房属于抵押贷款，为什么银行能办公积金中心不愿意办理？能否责令商洛市公积金中心改变政策，减轻单职工购房负担。不胜感激 ,2021-05-18,  网友你好，来信已收悉，你咨询的问题现回复如下：  根据《商洛市住房公积金管理委员会关于印发《明确住房公积金贷款具体规定事项》的通知》文件规定，担保方式有三种：（1）所购房屋抵押担保；（2）信用担保；（3）凭证式国债或受委托贷款银行人民币定期存单质押担保；担保必须真实有效，要取得债权人的认可。,2021-05-19,市信息中心,http://www.shangluo.gov.cn/zmhd/ldxxxx.jsp?urltype=leadermail.LeaderMailContentUrl&wbtreeid=1112&leadermailid=7267
20210517004,公立医院有哪些,你好，商洛市的公立医院有哪些？3甲以上的公立医院有哪些？,2021-05-17,"  网友你好，来信已收悉，你咨询的问题已转市卫健委阅处。相关情况会第一时间答复，请关注后续回复内容，感谢你的来信，祝你生活愉快！
2021年5月18日
  网友你好，你咨询的问题现回复如下：  商洛市境内的公立医院主要有以下26所，其中三甲公立医院有商洛市中心医院1所：  1．商洛市中心医院  2．商洛市中医医院  3．商洛市妇幼保健院  4．商洛市疗养院  5．商洛市荣康医院（原复退军人精神病医院）  6．商州区人民医院  7．商州区中医医院  8．商州区妇幼保健院  9．洛南县医院  10．洛南县中医医院  11．洛南县妇幼保健院  12．丹凤县医院  13．丹凤县中医医院  14．丹凤县妇幼保健院  15．商南县医院  16．商南县中医医院  17．商南县妇幼保健院  18．山阳县人民医院  19．山阳县中医医院  20．山阳县妇幼保健院  21．镇安县医院  22．镇安县中医医院  23．镇安县妇幼保健院  24．柞水县医院  25．柞水县中医医院  26．柞水县妇幼保健院
商洛市卫生健康委员会2021年5月18日",2021-05-18,商洛市卫生健康委员会,http://www.shangluo.gov.cn/zmhd/ldxxxx.jsp?urltype=leadermail.LeaderMailContentUrl&wbtreeid=1112&leadermailid=7255
20210517003,公立医院,你好，贵县的公立医院有哪些？3甲（含三甲）以上的有哪些？,2021-05-17,  网友你好，你咨询的问题属于重复反映同一事项，20210517004号信件已受理，相关情况会第一时间答复，请根据来信编号、查询密码进行查询。感谢你的来信，祝你生活愉快！,2021-05-18,市信息中心,http://www.shangluo.gov.cn/zmhd/ldxxxx.jsp?urltype=leadermail.LeaderMailContentUrl&wbtreeid=1112&leadermailid=7254
20210515005,关于竹林关镇闫荫组刘功成夫妇至今仍未脱贫,关于竹林关镇闫荫组刘功成夫妇至今仍未脱贫事宜向领导诉说，竹林关镇闫荫组刘功成、杨友娥夫妇今年将近70岁，且刘功成患有严重精神抑郁症，杨友娥患有严重心脑血管病、生活不能自理，至今二人仍然居住在闫荫组大山山顶深林里，到他家没有公路，只有30公分宽5公里高的羊肠小道，住房是土坯石板房，吃的是地窖水，更不用说自来水了，整个组如今只剩下他们二人了，我到他家亲眼看见杨友娥生活不能自理了，刘功成已听不清别人说话了。看到他们的生活状况我心里一阵楚酸。据说刘功成过去性情刚烈，爱打抱不平，得罪了村组领导，贫困户、低保户与他无缘。像他们眼下的生活状况在全市、甚至全省可能少见。如今冒昧向市长反映一下，希望得到重视且能够解决。谢谢！ ,2021-05-15,"  网友你好，来信已收悉，你反映的问题已转丹凤县人民政府阅处。相关情况会第一时间答复，请关注后续回复内容，感谢你的来信，祝你生活愉快！
2021年5月18日
  网友你好，你反映的问题丹凤县高度重视，立即安排竹林关镇政府调查处理。现回复如下：  一、基本情况  反映人刘功成、杨友娥是竹林关镇东炉村烟台组人，属建档立卡贫困户，2019年脱贫退出，全家4口人。该户有三处住房，分别是位于丹凤县商镇老君社区八期移民安置点1幢1单元1201室的易地扶贫搬迁安置房，面积92.22m2；位于竹林关镇东炉村原烟台组砖木结构三间房屋；位于竹林关镇东炉村烟台组土木结构三间房屋（原东炉村烟台组初小，刘功成夫妇目前居住房屋）。  二、调查情况  （一）关于“到他家没有公路，只有30公分宽5公里高的羊肠小道”的情况核实。  经实际走访，刘功成现住房距离通组水泥路约65米，通组水泥路修建于2018年，长度为2.5公里，宽度为3.5米。  （二）关于“住房为土坯石板房，吃的是地窖水”的情况核实。该户享受易地扶贫搬迁政策，2019年在丹凤县商镇老君社区八期移民安置点1幢1单元1201室分得移民安置房一套，面积92.22m2。因刘功成及配偶杨友娥年龄较大，在移民小区生活不习惯，现居住在竹林关镇东炉村烟台组土木结构三间房屋内，住房安全。实地走访，刘功成现家庭用水为入户自来水。  （三）关于“杨友娥生活不能自理，刘功成已听不清别人说话”的情况核实。杨友娥患脑梗后遗症，生活不能自理，由刘功成照顾生活，反映属实；刘功成身体健康，能够正常与人交流，并从事轻体力劳动。  （四）“两不愁三保障”情况。  刘杰（户主，刘功成之子）常年在西安开出租车，月收入6000元左右；儿子刘栋畅在西安做餐饮服务工作，月收入2500元左右；刘功成在家养殖生猪1头，养蜂8箱，散养鸡二十只；刘功成夫妇养老金、高龄均正常发放，2020年集体经济分红401.44元，退耕还林2600元均已兑现。全家4口人全部参加城乡居民医疗和大病保险，三处房屋均为安全住房，饮水为自来水入户，“两不愁三保障”不存在问题。综上，该信访件反映内容与实际情况不符，反映内容失实。  三、下一步工作打算  群众反映问题失实，但也反映出镇村干部政策宣传不到位、工作不精不细等问题。下一步，我们将针对“两不愁三保障”再次进行全覆盖核实走访，全面排查化解矛盾，加强政策宣传力度，确保脱贫路上不落一人。
丹凤县人民政府办公室2021年5月20日",2021-05-18,丹凤县人民政府办公室,http://www.shangluo.gov.cn/zmhd/ldxxxx.jsp?urltype=leadermail.LeaderMailContentUrl&wbtreeid=1112&leadermailid=7250
20210514006,“公益惠民”补贴安装太阳能路灯,尊敬的市长：您好，我是一名在苏工作的市民，近期看到老家商南县过风楼镇炭沟村，村委会推荐太阳能庭院灯200W（原价298元，现价198元，补贴后100元）（自愿购买），咨询12345得知为慈善协会主导（有一家企业具体记不清楚了）。我是一名太阳能行业的从业者，了解相关成品的成本和价格，同期淘宝网上同类同规格产品在50元左右，而这些以补贴名义进入广大农民家庭中的反而贵了，而且这些以政府名义和途径进行“惠民”所谓补贴的反而贵了，是否妥当？是否会伤害政府公信力？    ,2021-05-14,"  网友你好，来信已收悉，你反映的问题已转商南县人民政府阅处。相关情况会第一时间答复，请关注后续回复内容，感谢你的来信，祝你生活愉快！
2021年5月18日
  网友你好，你反映的问题商南县政府高度重视，立即组织县慈善协会和过风楼镇对群众反映的问题，进行调查处理。现回复如下：  经核查，“爱心助民、点亮乡村”惠民工程慈善公益活动为每个村无偿捐赠2-3台IT-868型太阳能庭院灯（此灯原价298元/套，村民购买优惠价100元/套），在捐赠的基础上，炭沟村委会认为此项活动是惠民的好事，在炭沟村微信群对此项活动进行了宣传，鼓励村民自愿购买；此项活动由社会组织慈善协会联合陕西瀚海健康产业集团开展，政府对此项活动没有补贴，无伤害政府公信力行为；镇政府工作人员从淘宝网上对“太阳能庭院灯”进行了搜索。同时，对类同规格的太阳能庭院灯进行了市场调查。经过比较，类同规格的太阳能庭院灯的价格均在100元至300元之间不等，因此，该网民反映的村上与慈善协会为村民捐赠并安装太阳能灯的情况属实，但网民反映类同规格的太阳能庭院灯的价格在50元，以政府名义补贴惠民反而贵了的问题不属实。  经调查组研判，现场对该网民反映的问题进行了处理。一是加强政策宣传。我县立即要求炭沟村对此项惠民活动加大宣传引导及解释说明工作，并将相关文件进行公示，对群众有疑问的问题第一时间进行解释说明。二是开展批评教育。镇党委、政府已对炭沟村村干部进行批评教育，责令炭沟村委会加强微信群监管，对群中与网民发生口角的群众进行批评教育，引导文明发言。三是主动沟通赢得理解。经多方联系，镇包村领导与该网民进行电话沟通，对反映问题再次进行解释，并将相关处置情况进行了反馈，该网民对反映问题核查处置情况表示满意。  下一步，我县将坚持问题导向，举一反三，积极回应群众合理合法诉求，切实解决群众切身利益问题，加强对各村“两委”班子及成员思想教育引导工作，不断增强大局观念和为民服务意识，切实发挥基层组织战斗堡垒作用；扎实开展“我为群众办实事”活动，查找各项工作短板和不足，切实提升为民服务水平，聚力解决群众关切，不断提高广大人民群众的幸福感和归属感。
商南县人民政府2021年5月20日",2021-05-18,商南县人民政府,http://www.shangluo.gov.cn/zmhd/ldxxxx.jsp?urltype=leadermail.LeaderMailContentUrl&wbtreeid=1112&leadermailid=7244
20210514003,明珠花园,明珠花园公租房六月能交房不？,2021-05-14,  网友你好，你咨询的问题现回复如下：  目前，明珠花园公租房室内配套以及小区管网、道路等配套设施已基本完工，消防验收以及物业等准备工作正在进行中，力争在六月底前交付使用，在此期间，各住房保障家庭继续享受住房租赁补贴政策。,2021-05-18,商洛市住房和城乡建设局,http://www.shangluo.gov.cn/zmhd/ldxxxx.jsp?urltype=leadermail.LeaderMailContentUrl&wbtreeid=1112&leadermailid=7241
